"RelPath","Folder","BaseName","Extension","Length"
"JSA 2010\BATCH & FURNACE\Hazard-Risk-JSA-Excess Oxygen Measurement.doc","BATCH & FURNACE","Hazard-Risk-JSA-Excess Oxygen Measurement",".doc","189952"
"JSA 2010\BATCH & FURNACE\Hazard-Risk-JSA-Filling Mobile Hopper with Iron Chromite.doc","BATCH & FURNACE","Hazard-Risk-JSA-Filling Mobile Hopper with Iron Chromite",".doc","187392"
"JSA 2010\BATCH & FURNACE\Hazard-Risk-JSA-Glass Colour Analysis.doc","BATCH & FURNACE","Hazard-Risk-JSA-Glass Colour Analysis",".doc","184832"
"JSA 2010\BATCH & FURNACE\Hazard-Risk-JSA-Lime Dip.doc","BATCH & FURNACE","Hazard-Risk-JSA-Lime Dip",".doc","188416"
"JSA 2010\BATCH & FURNACE\Hazard-Risk-JSA-Operating Kerrick Vacuum.doc","BATCH & FURNACE","Hazard-Risk-JSA-Operating Kerrick Vacuum",".doc","178176"
"JSA 2010\BATCH & FURNACE\Hazard-Risk-JSA-Regen Insulation Spraying.doc","BATCH & FURNACE","Hazard-Risk-JSA-Regen Insulation Spraying",".doc","187904"
"JSA 2010\BATCH & FURNACE\Hazard-Risk-JSA-Sand Moisture Analysis.doc","BATCH & FURNACE","Hazard-Risk-JSA-Sand Moisture Analysis",".doc","187392"
"JSA 2010\BATCH & FURNACE\Hazard-Risk-JSA-Strapping Empty Bulk Bag.doc","BATCH & FURNACE","Hazard-Risk-JSA-Strapping Empty Bulk Bag",".doc","181760"
"JSA 2010\BATCH & FURNACE\Hazard-Risk-JSA-Thermal Profile.doc","BATCH & FURNACE","Hazard-Risk-JSA-Thermal Profile",".doc","189952"
"JSA 2010\BATCH & FURNACE\JSA- Installing wind cooling on the crown.doc","BATCH & FURNACE","JSA- Installing wind cooling on the crown",".doc","142848"
"JSA 2010\BATCH & FURNACE\JSA-Burner Block Replacement.doc","BATCH & FURNACE","JSA-Burner Block Replacement",".doc","148480"
"JSA 2010\BATCH & FURNACE\JSA-Cat Loader Operation.doc","BATCH & FURNACE","JSA-Cat Loader Operation",".doc","143872"
"JSA 2010\BATCH & FURNACE\JSA-Electrode Holder Drilling.doc","BATCH & FURNACE","JSA-Electrode Holder Drilling",".doc","146944"
"JSA 2010\BATCH & FURNACE\JSA-Frit Hopper Lifting.doc","BATCH & FURNACE","JSA-Frit Hopper Lifting",".doc","140800"
"JSA 2010\BATCH & FURNACE\JSA-Installation Bubbler AK2 Colour Change.doc","BATCH & FURNACE","JSA-Installation Bubbler AK2 Colour Change",".doc","142848"
"JSA 2010\BATCH & FURNACE\JSA-Installation of windcooling.doc","BATCH & FURNACE","JSA-Installation of windcooling",".doc","141824"
"JSA 2010\BATCH & FURNACE\JSA-Komatsu Loader Operation.doc","BATCH & FURNACE","JSA-Komatsu Loader Operation",".doc","143872"
"JSA 2010\BATCH & FURNACE\JSA-Port Neck Sealing.doc","BATCH & FURNACE","JSA-Port Neck Sealing",".doc","143360"
"JSA 2010\BATCH & FURNACE\JSA-Preparation of Lancing a Furnace.doc","BATCH & FURNACE","JSA-Preparation of Lancing a Furnace",".doc","140800"
"JSA 2010\BATCH & FURNACE\JSA-Road Sweeper Operation.doc","BATCH & FURNACE","JSA-Road Sweeper Operation",".doc","143360"
"JSA 2010\BATCH & FURNACE\JSA-Testing of Furnace gas Emergency Stops.doc","BATCH & FURNACE","JSA-Testing of Furnace gas Emergency Stops",".doc","142336"
"JSA 2010\BATCH & FURNACE\JSEA 211.09.01.doc","BATCH & FURNACE","JSEA 211.09.01",".doc","76800"
"JSA 2010\BATCH & FURNACE\JSEA 211.09.02.doc","BATCH & FURNACE","JSEA 211.09.02",".doc","85504"
"JSA 2010\BATCH & FURNACE\JSEA 211.09.03.doc","BATCH & FURNACE","JSEA 211.09.03",".doc","76800"
"JSA 2010\BATCH & FURNACE\JSEA 211.09.04.doc","BATCH & FURNACE","JSEA 211.09.04",".doc","84992"
"JSA 2010\BATCH & FURNACE\JSEA 211.09.05.doc","BATCH & FURNACE","JSEA 211.09.05",".doc","77312"
"JSA 2010\BATCH & FURNACE\JSEA 211.09.06.doc","BATCH & FURNACE","JSEA 211.09.06",".doc","70144"
"JSA 2010\BATCH & FURNACE\JSEA 211.09.07.doc","BATCH & FURNACE","JSEA 211.09.07",".doc","74240"
"JSA 2010\BATCH & FURNACE\JSEA 211.09.08.doc","BATCH & FURNACE","JSEA 211.09.08",".doc","77824"
"JSA 2010\BATCH & FURNACE\JSEA 211.09.09 Removal of Hot Glass.doc","BATCH & FURNACE","JSEA 211.09.09 Removal of Hot Glass",".doc","74752"
"JSA 2010\BATCH & FURNACE\JSEA 211.09.10 Flux Line Repair.doc","BATCH & FURNACE","JSEA 211.09.10 Flux Line Repair",".doc","79872"
"JSA 2010\BATCH & FURNACE\JSEA 211.09.11 Excess Oxygen Measurement for Furnace.doc","BATCH & FURNACE","JSEA 211.09.11 Excess Oxygen Measurement for Furnace",".doc","147968"
"JSA 2010\BATCH & FURNACE\JSEA 211.09.12 Burner Block Replacement.doc","BATCH & FURNACE","JSEA 211.09.12 Burner Block Replacement",".doc","152064"
"JSA 2010\BATCH & FURNACE\JSEA 211.09.13 Installation Bubbler AK2 Colour Change.doc","BATCH & FURNACE","JSEA 211.09.13 Installation Bubbler AK2 Colour Change",".doc","146944"
"JSA 2010\BATCH & FURNACE\JSEA 211.09.14 Electrode Holder Drilling.doc","BATCH & FURNACE","JSEA 211.09.14 Electrode Holder Drilling",".doc","149504"
"JSA 2010\BATCH & FURNACE\JSEA 211.09.15 Thermal Profile of Furnace.doc","BATCH & FURNACE","JSEA 211.09.15 Thermal Profile of Furnace",".doc","147456"
"JSA 2010\BATCH & FURNACE\JSEA 211.10.01 Cat Loader Operation.doc","BATCH & FURNACE","JSEA 211.10.01 Cat Loader Operation",".doc","75776"
"JSA 2010\BATCH & FURNACE\JSEA 211.10.02 Fork Hoist Operation.doc","BATCH & FURNACE","JSEA 211.10.02 Fork Hoist Operation",".doc","75776"
"JSA 2010\BATCH & FURNACE\JSEA 211.10.03 Komatsu Loader Operation.doc","BATCH & FURNACE","JSEA 211.10.03 Komatsu Loader Operation",".doc","75776"
"JSA 2010\BATCH & FURNACE\JSEA 211.10.04 Road Sweeper Operation.doc","BATCH & FURNACE","JSEA 211.10.04 Road Sweeper Operation",".doc","76288"
"JSA 2010\BATCH & FURNACE\JSEA 211.11.01.doc","BATCH & FURNACE","JSEA 211.11.01",".doc","72704"
"JSA 2010\BATCH & FURNACE\JSEA 211.11.02 Frit Hopper Lifting.doc","BATCH & FURNACE","JSEA 211.11.02 Frit Hopper Lifting",".doc","144896"
"JSA 2010\BATCH & FURNACE\JSEA 211.11.03 Install Silo Chute Feeder.doc","BATCH & FURNACE","JSEA 211.11.03 Install Silo Chute Feeder",".doc","146944"
"JSA 2010\BATCH & FURNACE\JSEA 211.12.01.doc","BATCH & FURNACE","JSEA 211.12.01",".doc","86016"
"JSA 2010\BATCH & FURNACE\JSEA 211.13.01.doc","BATCH & FURNACE","JSEA 211.13.01",".doc","79872"
"JSA 2010\BATCH & FURNACE\JSEA 211.13.02.doc","BATCH & FURNACE","JSEA 211.13.02",".doc","73216"
"JSA 2010\BATCH & FURNACE\JSEA-Excess Oxygen Measurement for Furnace.doc","BATCH & FURNACE","JSEA-Excess Oxygen Measurement for Furnace",".doc","143872"
"JSA 2010\BATCH & FURNACE\JSEA-Thermal Profile of Furnace.doc","BATCH & FURNACE","JSEA-Thermal Profile of Furnace",".doc","143360"
"JSA 2010\CONTRACTOR\JSA-Cut Inspection Hole[Contractor].doc","CONTRACTOR","JSA-Cut Inspection Hole[Contractor]",".doc","147968"
"JSA 2010\CONTRACTOR\JSA-Erect Platform[Contractor].doc","CONTRACTOR","JSA-Erect Platform[Contractor]",".doc","147968"
"JSA 2010\CONTRACTOR\JSA-Installing High Speed Doors[Contractor].doc","CONTRACTOR","JSA-Installing High Speed Doors[Contractor]",".doc","133632"
"JSA 2010\CONTRACTOR\JSA-Upgrade of Spray Booth[Contractor].doc","CONTRACTOR","JSA-Upgrade of Spray Booth[Contractor]",".doc","148992"
"JSA 2010\ELECTRICAL\JSA- Changing Lights over 3metres.doc","ELECTRICAL","JSA- Changing Lights over 3metres",".doc","143360"
"JSA 2010\ELECTRICAL\JSA- Changing Lights under 10ft.doc","ELECTRICAL","JSA- Changing Lights under 10ft",".doc","141312"
"JSA 2010\ELECTRICAL\JSA- Changing Lights under 3metres.doc","ELECTRICAL","JSA- Changing Lights under 3metres",".doc","141312"
"JSA 2010\ELECTRICAL\JSA-Bench Grinder.doc","ELECTRICAL","JSA-Bench Grinder",".doc","142848"
"JSA 2010\ELECTRICAL\JSA-Change Operator Panel on Emhart IS Machine.doc","ELECTRICAL","JSA-Change Operator Panel on Emhart IS Machine",".doc","146944"
"JSA 2010\ELECTRICAL\JSA-Check 21 Chute up-down Proximity Switches.doc","ELECTRICAL","JSA-Check 21 Chute up-down Proximity Switches",".doc","142336"
"JSA 2010\ELECTRICAL\JSA-Checking a Fuse.doc","ELECTRICAL","JSA-Checking a Fuse",".doc","145408"
"JSA 2010\ELECTRICAL\JSA-Clean GCS Cards.doc","ELECTRICAL","JSA-Clean GCS Cards",".doc","142336"
"JSA 2010\ELECTRICAL\JSA-Drill Press.doc","ELECTRICAL","JSA-Drill Press",".doc","142848"
"JSA 2010\ELECTRICAL\JSA-Finish Coating Meter.doc","ELECTRICAL","JSA-Finish Coating Meter",".doc","143872"
"JSA 2010\ELECTRICAL\JSA-Hot End Coating Meter.doc","ELECTRICAL","JSA-Hot End Coating Meter",".doc","144896"
"JSA 2010\ELECTRICAL\JSA-ICK.doc","ELECTRICAL","JSA-ICK",".doc","144384"
"JSA 2010\ELECTRICAL\JSA-Ink Jet Printer.doc","ELECTRICAL","JSA-Ink Jet Printer",".doc","142336"
"JSA 2010\ELECTRICAL\JSA-Inspection of data Accumulator.doc","ELECTRICAL","JSA-Inspection of data Accumulator",".doc","140800"
"JSA 2010\ELECTRICAL\JSA-Jig Saw.doc","ELECTRICAL","JSA-Jig Saw",".doc","142336"
"JSA 2010\ELECTRICAL\JSA-Job Changes.doc","ELECTRICAL","JSA-Job Changes",".doc","145408"
"JSA 2010\ELECTRICAL\JSA-LehrSprays & Back up Unit.doc","ELECTRICAL","JSA-LehrSprays & Back up Unit",".doc","143360"
"JSA 2010\ELECTRICAL\JSA-Ramp Pressure Tester.doc","ELECTRICAL","JSA-Ramp Pressure Tester",".doc","142848"
"JSA 2010\ELECTRICAL\JSA-Repair Faulty Lights.doc","ELECTRICAL","JSA-Repair Faulty Lights",".doc","146432"
"JSA 2010\ELECTRICAL\JSA-replace 23 Conveyor Cooling Motor Starter.doc","ELECTRICAL","JSA-replace 23 Conveyor Cooling Motor Starter",".doc","144896"
"JSA 2010\ELECTRICAL\JSA-Replacing Broken 400v-230v.doc","ELECTRICAL","JSA-Replacing Broken 400v-230v",".doc","142848"
"JSA 2010\ELECTRICAL\JSA-Replacing Motors.doc","ELECTRICAL","JSA-Replacing Motors",".doc","144384"
"JSA 2010\ELECTRICAL\JSA-Shuttle Car.doc","ELECTRICAL","JSA-Shuttle Car",".doc","145408"
"JSA 2010\ELECTRICAL\JSA-Super Scan.doc","ELECTRICAL","JSA-Super Scan",".doc","144384"
"JSA 2010\ELECTRICAL\JSA-Test 3 Phase Motor.doc","ELECTRICAL","JSA-Test 3 Phase Motor",".doc","147456"
"JSA 2010\ELECTRICAL\JSA-Working above Lehrs.doc","ELECTRICAL","JSA-Working above Lehrs",".doc","145408"
"JSA 2010\ELECTRICAL\JSEA 217.13.05 Isolation for Boost Systems.doc","ELECTRICAL","JSEA 217.13.05 Isolation for Boost Systems",".doc","77312"
"JSA 2010\ELECTRICAL\JSEA 217.13.06 Installation of Machine Timing Cables.doc","ELECTRICAL","JSEA 217.13.06 Installation of Machine Timing Cables",".doc","71680"
"JSA 2010\ELECTRICAL\JSEA 217.13.07 Installing Splash Guard on Elect. Cabinet.doc","ELECTRICAL","JSEA 217.13.07 Installing Splash Guard on Elect. Cabinet",".doc","71168"
"JSA 2010\ELECTRICAL\JSEA 217.13.08 FP Removals.doc","ELECTRICAL","JSEA 217.13.08 FP Removals",".doc","72192"
"JSA 2010\ELECTRICAL\JSEA 217.13.09 Relocate Control Panel Machine Fan.doc","ELECTRICAL","JSEA 217.13.09 Relocate Control Panel Machine Fan",".doc","73216"
"JSA 2010\ELECTRICAL\JSEA 217.13.10 Working above Lehrs.doc","ELECTRICAL","JSEA 217.13.10 Working above Lehrs",".doc","148992"
"JSA 2010\ELECTRICAL\JSEA 217.13.11 Repair Faulty Lights.doc","ELECTRICAL","JSEA 217.13.11 Repair Faulty Lights",".doc","151552"
"JSA 2010\ELECTRICAL\JSEA 217.13.12 Check 21 Chute up-down Proximity Switches.doc","ELECTRICAL","JSEA 217.13.12 Check 21 Chute up-down Proximity Switches",".doc","146432"
"JSA 2010\ELECTRICAL\JSEA 217.13.13 Replace 23 Conveyor Cooling Motor Starter.doc","ELECTRICAL","JSEA 217.13.13 Replace 23 Conveyor Cooling Motor Starter",".doc","149504"
"JSA 2010\ELECTRICAL\JSEA 217.13.15 Clean GCS Cards.doc","ELECTRICAL","JSEA 217.13.15 Clean GCS Cards",".doc","146944"
"JSA 2010\ELECTRICAL\JSEA 217.13.16 Bench Grinder.doc","ELECTRICAL","JSEA 217.13.16 Bench Grinder",".doc","142848"
"JSA 2010\ELECTRICAL\JSEA 217.13.17 ICK Lockout.doc","ELECTRICAL","JSEA 217.13.17 ICK Lockout",".doc","144384"
"JSA 2010\ELECTRICAL\JSEA 217.13.18 Drill Press.doc","ELECTRICAL","JSEA 217.13.18 Drill Press",".doc","142848"
"JSA 2010\ELECTRICAL\JSEA 217.13.19 Finish Coating Meter.doc","ELECTRICAL","JSEA 217.13.19 Finish Coating Meter",".doc","143872"
"JSA 2010\ELECTRICAL\JSEA 217.13.20 Hot End Coating Meter.doc","ELECTRICAL","JSEA 217.13.20 Hot End Coating Meter",".doc","144896"
"JSA 2010\ELECTRICAL\JSEA 217.13.21 Ramp Pressure Tester.doc","ELECTRICAL","JSEA 217.13.21 Ramp Pressure Tester",".doc","142848"
"JSA 2010\ELECTRICAL\JSEA 217.13.22 Jig Saw.doc","ELECTRICAL","JSEA 217.13.22 Jig Saw",".doc","142336"
"JSA 2010\ELECTRICAL\JSEA 217.13.23 Job Changes.doc","ELECTRICAL","JSEA 217.13.23 Job Changes",".doc","145408"
"JSA 2010\ELECTRICAL\JSEA 217.13.24 Super Scan.doc","ELECTRICAL","JSEA 217.13.24 Super Scan",".doc","144384"
"JSA 2010\ELECTRICAL\JSEA 217.13.25 Shuttle Car.doc","ELECTRICAL","JSEA 217.13.25 Shuttle Car",".doc","145408"
"JSA 2010\ELECTRICAL\JSEA 217.13.26 Ink Jet Printer.doc","ELECTRICAL","JSEA 217.13.26 Ink Jet Printer",".doc","142336"
"JSA 2010\ELECTRICAL\JSEA 217.13.27 Lehr Sprays & Backup Unit.doc","ELECTRICAL","JSEA 217.13.27 Lehr Sprays & Backup Unit",".doc","143360"
"JSA 2010\ELECTRICAL\JSEA 217.13.28 Replacing Motors.doc","ELECTRICAL","JSEA 217.13.28 Replacing Motors",".doc","144384"
"JSA 2010\ELECTRICAL\JSEA 217.13.29 Replacing Broken 400v - 230vMotors.doc","ELECTRICAL","JSEA 217.13.29 Replacing Broken 400v - 230vMotors",".doc","142848"
"JSA 2010\ENGINEERING\JSA-Changing Section of Vacuum Line.doc","ENGINEERING","JSA-Changing Section of Vacuum Line",".doc","141824"
"JSA 2010\ENGINEERING\JSA-Remove Cullet Water Pump.doc","ENGINEERING","JSA-Remove Cullet Water Pump",".doc","142848"
"JSA 2010\ENGINEERING\JSA-Replace Cullet 2 Slide Plate.doc","ENGINEERING","JSA-Replace Cullet 2 Slide Plate",".doc","143360"
"JSA 2010\ENGINEERING\JSA-Replacing Tank 2 Drag Bucket.doc","ENGINEERING","JSA-Replacing Tank 2 Drag Bucket",".doc","141824"
"JSA 2010\ENGINEERING\JSEA-Running Cables for I.T..doc","ENGINEERING","JSEA-Running Cables for I.T.",".doc","141824"
"JSA 2010\FACTORY MAINTENANCE\JSA- Re-Clipping Conveyor Belt.doc","FACTORY MAINTENANCE","JSA- Re-Clipping Conveyor Belt",".doc","143360"
"JSA 2010\FACTORY MAINTENANCE\JSA-Cleaning Food Mach.doc","FACTORY MAINTENANCE","JSA-Cleaning Food Mach",".doc","135168"
"JSA 2010\FACTORY MAINTENANCE\JSA-Filter Replacement on Fans.doc","FACTORY MAINTENANCE","JSA-Filter Replacement on Fans",".doc","144384"
"JSA 2010\FACTORY MAINTENANCE\JSA-Fitting Motor to Cullet Water Pump.doc","FACTORY MAINTENANCE","JSA-Fitting Motor to Cullet Water Pump",".doc","142848"
"JSA 2010\FACTORY MAINTENANCE\JSA-Install Covers around 31 Forehearth.doc","FACTORY MAINTENANCE","JSA-Install Covers around 31 Forehearth",".doc","138752"
"JSA 2010\FACTORY MAINTENANCE\JSA-Install New Shuttle Car.doc","FACTORY MAINTENANCE","JSA-Install New Shuttle Car",".doc","140800"
"JSA 2010\FACTORY MAINTENANCE\JSA-Install Ramps & Side Barriers.doc","FACTORY MAINTENANCE","JSA-Install Ramps & Side Barriers",".doc","145408"
"JSA 2010\FACTORY MAINTENANCE\JSA-Install Silo Chute Feeder.doc","FACTORY MAINTENANCE","JSA-Install Silo Chute Feeder",".doc","143360"
"JSA 2010\FACTORY MAINTENANCE\JSA-Plant Greasing Overview.doc","FACTORY MAINTENANCE","JSA-Plant Greasing Overview",".doc","142848"
"JSA 2010\FACTORY MAINTENANCE\JSA-Removal-Install Vacuum Pumps.doc","FACTORY MAINTENANCE","JSA-Removal-Install Vacuum Pumps",".doc","144896"
"JSA 2010\FACTORY MAINTENANCE\JSA-Repair 34 Chute.doc","FACTORY MAINTENANCE","JSA-Repair 34 Chute",".doc","143872"
"JSA 2010\FACTORY MAINTENANCE\JSA-Repair main gob chute machine floor.doc","FACTORY MAINTENANCE","JSA-Repair main gob chute machine floor",".doc","141824"
"JSA 2010\FACTORY MAINTENANCE\JSA-Repairs to No 2 Mixer.doc","FACTORY MAINTENANCE","JSA-Repairs to No 2 Mixer",".doc","147968"
"JSA 2010\FACTORY MAINTENANCE\JSA-Replace End of 21 Gob Reject Chute.doc","FACTORY MAINTENANCE","JSA-Replace End of 21 Gob Reject Chute",".doc","146432"
"JSA 2010\FACTORY MAINTENANCE\JSA-Replace FP Infeed Drive Shaft Bearings.doc","FACTORY MAINTENANCE","JSA-Replace FP Infeed Drive Shaft Bearings",".doc","142336"
"JSA 2010\FACTORY MAINTENANCE\JSA-Replace Glass Crusher.doc","FACTORY MAINTENANCE","JSA-Replace Glass Crusher",".doc","140800"
"JSA 2010\FACTORY MAINTENANCE\JSA-Replace Gutter.doc","FACTORY MAINTENANCE","JSA-Replace Gutter",".doc","146432"
"JSA 2010\FACTORY MAINTENANCE\JSA-Replace Section of Elevator Shute.doc","FACTORY MAINTENANCE","JSA-Replace Section of Elevator Shute",".doc","143872"
"JSA 2010\FACTORY MAINTENANCE\JSA-Replace Wheels on Tank 2 Cullet Drag.doc","FACTORY MAINTENANCE","JSA-Replace Wheels on Tank 2 Cullet Drag",".doc","143360"
"JSA 2010\FACTORY MAINTENANCE\JSA-Replacing Wheels on MSK Turntable.doc","FACTORY MAINTENANCE","JSA-Replacing Wheels on MSK Turntable",".doc","142848"
"JSA 2010\FACTORY MAINTENANCE\JSA-Replate TK2 Elevator.doc","FACTORY MAINTENANCE","JSA-Replate TK2 Elevator",".doc","141312"
"JSA 2010\FACTORY MAINTENANCE\JSEA 217.01.03 Remove Machine Fan (Contractors).doc","FACTORY MAINTENANCE","JSEA 217.01.03 Remove Machine Fan (Contractors)",".doc","84992"
"JSA 2010\FACTORY MAINTENANCE\JSEA 217.01.04 Remove redundant Pipework (Contractors).doc","FACTORY MAINTENANCE","JSEA 217.01.04 Remove redundant Pipework (Contractors)",".doc","76288"
"JSA 2010\FACTORY MAINTENANCE\JSEA 217.01.05 Erection of the Stack (Contractors).doc","FACTORY MAINTENANCE","JSEA 217.01.05 Erection of the Stack (Contractors)",".doc","78336"
"JSA 2010\FACTORY MAINTENANCE\JSEA 217.01.06 Painting Pipework Lehr & Machine.doc","FACTORY MAINTENANCE","JSEA 217.01.06 Painting Pipework Lehr & Machine",".doc","73216"
"JSA 2010\FACTORY MAINTENANCE\JSEA 217.01.07 Cleaning Machine Cooling Fan.doc","FACTORY MAINTENANCE","JSEA 217.01.07 Cleaning Machine Cooling Fan",".doc","71680"
"JSA 2010\FACTORY MAINTENANCE\JSEA 217.01.08 Cut 200mm Hole in Mc Floor.doc","FACTORY MAINTENANCE","JSEA 217.01.08 Cut 200mm Hole in Mc Floor",".doc","71680"
"JSA 2010\FACTORY MAINTENANCE\JSEA 217.01.09 Install Duct Work & Equipment.doc","FACTORY MAINTENANCE","JSEA 217.01.09 Install Duct Work & Equipment",".doc","92160"
"JSA 2010\FACTORY MAINTENANCE\JSEA 217.01.10 Steam Clean Mc Fan in Basement.doc","FACTORY MAINTENANCE","JSEA 217.01.10 Steam Clean Mc Fan in Basement",".doc","72704"
"JSA 2010\FACTORY MAINTENANCE\JSEA 217.01.11 Weld Brackets on Mc Basement Fan.doc","FACTORY MAINTENANCE","JSEA 217.01.11 Weld Brackets on Mc Basement Fan",".doc","71680"
"JSA 2010\FACTORY MAINTENANCE\JSEA 217.01.12 Replace Bearing on Fan.doc","FACTORY MAINTENANCE","JSEA 217.01.12 Replace Bearing on Fan",".doc","76800"
"JSA 2010\FACTORY MAINTENANCE\JSEA 217.01.13 Remove, Repair, Re-install Wind Dampers under Mc.doc","FACTORY MAINTENANCE","JSEA 217.01.13 Remove, Repair, Re-install Wind Dampers under Mc",".doc","72704"
"JSA 2010\FACTORY MAINTENANCE\JSEA 217.01.14 Repair Floor Grid on #31 Feeder.doc","FACTORY MAINTENANCE","JSEA 217.01.14 Repair Floor Grid on #31 Feeder",".doc","72704"
"JSA 2010\FACTORY MAINTENANCE\JSEA 217.01.15 Clean Machine Cooling Fan AK3.doc","FACTORY MAINTENANCE","JSEA 217.01.15 Clean Machine Cooling Fan AK3",".doc","72192"
"JSA 2010\FACTORY MAINTENANCE\JSEA 217.01.16 Cut 200mm Hole in Machine Floor.doc","FACTORY MAINTENANCE","JSEA 217.01.16 Cut 200mm Hole in Machine Floor",".doc","73728"
"JSA 2010\FACTORY MAINTENANCE\JSEA 217.01.17 Oxy Cutting, Welding & Grinding (on or near Slat Band Conveyor).doc","FACTORY MAINTENANCE","JSEA 217.01.17 Oxy Cutting, Welding & Grinding (on or near Slat Band Conveyor)",".doc","76800"
